longitude,latitude,
-34.9057049,-8.0377284,
-34.9380684,-8.1311773,
-34.915617,-7.9936121,
-34.8968844,-8.1181863,
-34.9102029,-8.0984208,
-34.905163,-8.1450268,
-34.8977387,-8.0570838,
-34.9245179,-8.1153251,
-34.9007025,-8.0349769,
-34.9226671,-8.0335161,
-34.9220315,-8.0452922,
-34.949441,-8.0915245,
-34.9068716,-8.0546272,
-34.9066738,-8.0802298,
-34.8925835,-8.1107871,
-34.9360675,-8.0917131,
-34.8929429,-8.0277794,
-34.9012524,-8.1233442,
-34.9096209,-8.1245232,
-34.911662,-8.0803049,
-34.9102539,-8.1414954,
-34.8926747,-8.0567279,
-34.8763749,-8.0641028,
-34.9107635,-8.0624165,
-34.9018103,-8.1244116,
-34.9284312,-7.984536,
-34.9108252,-8.1327969,
-34.9513708,-8.1150709,
-34.9119303,-8.0178727,
-34.8832333,-8.0358268,
-34.8814134,-8.0869584,
-34.9122548,-8.0980225,
-34.9221307,-8.0522078,
-34.8799878,-8.0595005,
-34.8816454,-8.0321138,
-34.8785448,-8.0638346,
-34.8785394,-8.0637842,
-34.8969796,-8.0646154,
-34.8978004,-8.0779626,
-34.8881592,-8.0185592,
-34.9215245,-8.0179152,
-34.9393438,-8.0829033,
-34.9106669,-8.0911713,
-34.8787098,-8.0536526,
-34.8916273,-8.0409393,
-34.9013758,-8.0635106,
-34.9123795,-8.0468711,
-34.9284607,-8.1405926,
-34.8698062,-8.0590278,
-34.9245232,-8.0308762,
-34.8900944,-8.0453347,
-34.9051362,-8.1450799,
-34.957733,-8.04892,
-34.9019927,-8.1124308,
-34.9099575,-8.037496,
-34.9256149,-8.0661344,
-34.9070889,-8.0360525,
-34.937709,-8.0923052,
-34.914422,-8.054035,
-34.9150068,-8.0973799,
-34.9090683,-8.093086,
-34.9143308,-8.0581302,
-34.9258885,-8.0839058,
-34.9250597,-8.092839,
-34.8905343,-8.0252934,
-34.8990731,-8.1283255,
-34.9011062,-8.0301272,
-34.9037495,-8.0611882,
-34.9059141,-8.0581036,
