latitude,longitude
-8.130088,-34.915644
-8.070851,-34.896097
-8.106849,-34.927318
-8.119552,-34.896644
-8.085446,-34.886623
-8.087868,-34.886119
-8.074837,-34.890175
-8.092117,-34.882085
-8.129900,-34.901900
-8.130120,-34.903210
-8.063066,-34.873338
-8.104986,-34.889610
-8.060929,-34.883329
-8.061184,-34.883673
-8.048771,-34.878051
-8.038281,-34.891633
-8.038621,-34.892578
-8.092992,-34.943255
-8.092627,-34.942574
-8.062417,-34.897237
-8.063755,-34.897593
-8.049021,-34.892867
-8.048097,-34.893136
-8.063842,-34.935969
-8.063640,-34.935493
-8.129942,-34.915615
-8.130059,-34.915856
-8.129972,-34.915409
-8.095282,-34.882160
-8.094639,-34.882224
-8.079941,-34.892030
-8.079600,-34.890900
-8.153316,-34.908242
-8.153146,-34.909143
-8.042742,-34.885609
-8.042588,-34.885792
-8.041134,-34.883233
-8.041261,-34.883171
-8.093734,-34.928881
-8.093051,-34.928884
-8.066368,-34.928369
-8.066442,-34.927242
-8.038265,-34.928236
-8.038163,-34.929667
-8.038186,-34.957116
-8.038461,-34.958040
-8.088319,-34.909840
-8.088240,-34.910666
-8.101214,-34.886865
-8.101212,-34.886825
-8.044421,-34.897298
-8.043040,-34.896322
-8.056850,-34.897706
-8.057487,-34.890126
-8.060563,-34.884204
-8.055830,-34.895453
