Peso;Nome
4;Avenida Rui Barbosa
5;Rua Doutor Alvaro Ferraz
1;Rua Vinte e Um de Junho
2;Rua Faustino Porto
3;Avenida Engenheiro Alves de Souza
3;Rua Baltazar Passos
36;Avenida Governador Agamenon Magalhaes
33;Avenida Recife
1;Rua Doutor Jose Maria
16;Avenida Dezessete de Agosto
4;Avenida Mauricio de Nassau
26;PE-007
3;Avenida Visconde de Albuquerque
26;PE-007
13;Avenida Domingos Ferreira
20;Avenida Doutor Jose Rufino
6;Avenida Professor Jose dos Anjos
3;Rua Ribeiro de Brito
3;Avenida Desembargador Jose Neves
26;PE-007
2;Rua Joao Cardoso Aires
1;Rua Goncalves Maia
1;Rua 1o de Marco
25;Avenida Engenheiro Abdias de Carvalho
1;550
1;Rua Alto da Bica
3;Avenida Desembargador Jose Neves
3;Avenida Engenho Serra Verde
1;Rua Alto Jose Bonifacio
1;Rua Marechal Deodoro
1;Rua Dagoberto Pires
3;Avenida Engenheiro Alves de Souza
13;Avenida General San Martin
2;Rua da Aurora
14;Estrada de Belem
2;223
2;223
36;Avenida Governador Agamenon Magalhaes
1;Rua Carlos Coelho Leal Valente
4;Rua do Machado
4;Rua Vasco da Gama
3;Avenida Sao Paulo
8;Rua Arquiteto Luiz Nunes
3;Rua Capitao Lima
5;Avenida Joao de Barros
5;Avenida Beira Rio
1;25
5;Avenida Maria Irene
2;Avenida Alfredo Lisboa
1;Rua Engenheiro Oscar Ferreira
1;Viaduto Independencia
11;Avenida Boa Viagem
1;Rua Francisco Lacerda
8;Rua Antonio Falcao
2;Rua Leonardo Bezerra Cavalcante
1;Rua Ourem
2;Rua Leonardo Bezerra Cavalcante
26;PE-007
30;Avenida Caxanga
3;Avenida Engenheiro Alves de Souza
30;PE-008
8;Rua Gomes Taborda
20;Avenida Doutor Jose Rufino
1;Avenida Tapajos
4;Rua do Machado
1;447
7;Rua Conego Barata
5;Avenida Sport Clube do Recife
1;748
7;Rua Padre Lemos
3;Rua Pintor Antonio de Albuquerque
30;Avenida Caxanga
5;Rua Jean Emile Favre
2;Rua Floriano Peixoto
1;767
